date,h0,h1,h2,h3,h4,h5
2024-07-06,1.0,0.0,1.0,0.0,0.0,1.0
2022-01-31,0.0,0.0,0.0,1.0,0.0,1.0
2022-05-25,1.0,0.0,1.0,0.0,0.0,1.0
2020-10-05,1.0,0.0,1.0,0.0,1.0,1.0
2023-02-21,0.0,0.0,0.0,1.0,0.0,1.0
2020-06-08,1.0,0.0,1.0,0.0,0.0,1.0
2021-07-18,0.0,0.0,1.0,0.0,0.0,1.0
2021-03-30,1.0,0.0,0.0,1.0,1.0,1.0
2021-01-28,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-21,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-25,1.0,0.0,1.0,0.0,0.0,1.0
2023-01-22,0.0,0.0,0.0,1.0,0.0,1.0
2024-04-13,1.0,0.0,2.3324578e-25,1.0,1.0,2.983743e-21
2023-06-17,1.0,0.0,1.0,0.0,0.0,1.0
2021-07-06,1.0,0.0,1.0,0.0,0.0,1.0
2019-07-05,1.0,0.0,1.0,0.0,1.0,1.0
2019-10-15,1.0,0.0,1.0,0.0,0.0,1.0
2022-02-06,0.0,8.650126e-22,0.0,6.143964e-18,0.0,1.0
2020-01-02,1.0,0.0,0.0,1.0,8.4416025e-13,1.0
2021-12-31,0.0,0.0,0.0,1.0,4.176206e-34,1.0
2020-11-06,1.0,0.0,1.0,0.0,1.0,1.0
2023-11-06,0.0,0.0,1.0,0.0,1.0,1.0
2019-06-12,1.0,0.0,1.0,0.0,0.0,1.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,1.0
2021-04-22,1.0,0.0,1.0,1.0,3.6631218e-10,3.1168122e-06
2022-12-08,0.0,0.0,0.0,1.0,0.0,1.0
2024-11-18,0.0,0.0,1.0,0.0,1.0,1.0
2024-09-29,1.0,0.0,1.0,0.0,0.0,1.0
2024-10-25,0.0,0.0,1.0,0.0,1.0,1.0
2020-02-08,1.0,0.0,0.0,0.0,1.0,0.0
2021-06-18,1.0,0.0,1.0,0.0,0.0,1.0
2020-02-03,1.0,0.0,0.0,0.0,1.0,0.99999666
2022-12-03,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-20,0.0,0.0,0.0,0.0,1.0,1.0
2019-05-30,0.0,0.0,1.0,0.0,1.0,1.0
2023-10-13,1.0,0.0,0.0,0.0,1.0,1.0
2024-02-09,1.0,0.0,0.0,0.0,1.0,1.0
2021-10-25,0.0,0.0,1.0,0.0,0.0,1.0
2022-03-11,0.0,0.0,0.0,0.0,0.0,1.0
2024-09-25,1.0,0.0,1.0,0.0,0.0,1.0
2020-02-26,0.0,1.0,0.0,0.0,0.0,0.0
2020-09-05,1.0,0.0,1.0,0.0,0.0,1.0
2023-03-25,0.0,0.0,0.0,1.0,0.0,1.0
2023-11-03,1.0,0.0,1.0,0.0,1.0,1.0
2019-04-07,1.0,0.0,0.0,1.0,1.0,1.0
2022-01-12,4.2222607e-11,2.219316e-38,0.0,1.0,1.199767e-18,1.0
2023-10-02,1.0,0.0,0.0,0.0,1.0,1.0
2022-08-30,1.0,0.0,1.0,0.0,0.0,1.0
2019-09-09,1.0,0.0,1.0,0.0,1.0,1.0
2023-04-20,1.0,0.0,1.0,1.0,0.0,0.0
2024-08-04,1.0,0.0,1.0,0.0,1.0,1.0
2019-06-19,1.0,0.0,1.0,0.0,0.0,1.0
2024-01-26,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-03,0.0,0.0,0.0,1.0,0.0,1.0
2020-08-05,1.0,0.0,1.0,0.0,1.0,1.0
2021-07-31,0.0,0.0,1.0,0.0,1.0,1.0
2021-07-03,1.0,0.0,1.0,0.0,0.0,1.0
2024-12-07,0.0,0.0,1.3212647e-26,0.0,1.0,1.0
2024-12-01,0.0,0.0,0.99998677,0.0,1.0,1.0
2022-08-02,1.0,0.0,1.0,0.0,1.0,1.0
2021-05-01,1.0,0.0,0.9989806,1.0,1.7627602e-27,0.0
2023-05-17,1.0,0.0,0.0,1.0,0.0,1.0
2024-02-29,0.0,0.0,0.0,0.0,0.0,1.0
2021-06-25,1.0,0.0,1.0,0.0,0.0,1.0
2020-10-29,1.0,0.0,1.0,0.0,1.0,1.0
2020-08-28,1.0,0.0,1.0,0.0,0.0,1.0
2020-10-09,1.0,0.0,1.0,0.0,1.0,1.0
2024-01-19,0.0,0.0,0.0,0.0,0.0,1.0
2020-11-13,1.0,0.0,1.5809173e-20,0.0,1.7222993e-28,1.0
2022-07-14,1.0,0.0,1.0,0.0,1.0,1.0
2023-10-25,1.0,0.0,0.0,0.0,1.0,1.0
2024-02-24,1.0,0.0,0.0,0.0,0.0,1.0
2022-09-07,1.0,0.0,1.0,0.0,1.0,1.0
2019-09-08,1.0,0.0,1.0,0.0,1.0,1.0
2024-12-25,0.0,0.0,0.0,0.0,1.0,1.0
2022-06-12,1.0,0.0,1.0,0.0,0.0,1.0
2022-09-21,1.0,0.0,1.0,0.0,1.0,1.0
2019-05-21,1.0,0.0,0.0,0.0,1.0,1.0
2023-09-11,1.0,0.0,0.0,0.0,1.0,1.0
2021-11-23,0.0,0.0,0.0,1.0,0.0,1.0
2021-11-21,0.0,0.0,0.0,1.0,0.0,1.0
2021-05-29,0.0,0.0,1.0,0.0,1.0,1.0
2022-08-23,1.0,0.0,1.0,0.0,0.0,1.0
2020-11-04,1.0,0.0,1.0,0.0,1.0,1.0
2019-09-20,1.0,0.0,1.0,0.0,1.0,1.0
2023-08-17,1.0,0.0,1.0,0.0,1.0,1.0
2021-03-24,1.0,0.0,0.0,1.0,1.0,1.0
2024-06-28,1.0,0.0,1.0,0.0,0.0,1.0
2019-09-30,1.0,0.0,1.0,0.0,1.0,1.0
2023-06-15,1.0,0.0,1.0,0.0,0.0,1.0
2021-01-29,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-04,1.0,0.0,1.0,0.0,1.0,1.0
2024-09-09,1.0,0.0,1.0,0.0,1.0,1.0
2023-12-13,0.0,0.0,0.0,1.0,0.0,1.0
2019-04-24,1.0,0.0,1.3316813e-29,1.0,1.0,1.0
2022-07-13,1.0,0.0,1.0,0.0,1.0,1.0
2021-01-27,0.0,1.0,0.0,0.0,0.0,0.0
2019-09-27,1.0,0.0,1.0,0.0,1.0,1.0
2024-12-26,0.0,0.0,0.0,0.0,1.0,1.0
2022-12-06,0.0,0.0,0.0,1.0,0.0,1.0
2020-07-01,1.0,0.0,1.0,0.0,0.0,1.0
2023-01-19,0.0,0.0,0.0,1.0,0.0,1.0
2022-04-19,1.0,0.0,0.0,1.0,1.0,0.0
2022-04-13,1.0,0.0,0.0,1.0,1.0,0.0
2021-03-25,1.0,0.0,0.0,1.0,1.0,1.0
2023-08-05,1.0,0.0,1.0,0.0,1.0,1.0
2021-08-29,1.0,0.0,1.0,0.0,1.0,1.0
2020-10-15,1.0,0.0,1.0,0.0,1.0,1.0
2019-07-18,1.0,0.0,1.0,0.0,0.0,1.0
2024-12-28,0.0,0.0,0.0,0.0,1.0,1.0
2024-04-04,1.0,0.0,0.0,1.0,1.0,3.4435416e-36
2021-07-10,1.0,0.0,1.0,0.0,0.0,1.0
2024-01-14,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-10,1.0,0.0,1.0,0.0,0.0,1.0
2020-04-24,1.0,0.0,1.2544905e-24,1.0,1.0,1.0
2019-06-17,1.0,0.0,1.0,0.0,0.0,1.0
2022-12-25,0.0,0.0,0.0,1.0,0.0,1.0
2021-08-05,0.0,0.0,1.0,0.0,1.0,1.0
2021-08-21,1.0,0.0,1.0,0.0,0.0,1.0
2022-09-18,1.0,0.0,1.0,0.0,1.0,1.0
2022-11-24,0.0,0.0,0.0,1.0,0.0,1.0
2019-10-06,1.0,0.0,1.0,0.0,1.0,1.0
2019-09-15,1.0,0.0,1.0,0.0,1.0,1.0
2020-08-04,1.0,0.0,1.0,0.0,1.0,1.0
2021-10-05,1.0,0.0,1.0,0.0,0.0,1.0
2023-11-24,0.0,0.0,0.0,1.0,0.0,1.0
2023-06-03,1.0,0.0,1.0,0.0,0.0,1.0
2022-01-26,1.0,0.0,0.0,1.0,1.0,1.0
2024-01-02,0.0,0.0,0.0,1.2912221e-29,0.0,1.0
2022-01-23,0.0,0.0,0.0,1.0,4.1049966e-22,1.0
2021-10-20,0.0,0.0,1.0,0.0,0.0,1.0
2019-12-29,1.0,0.0,2.2302903e-30,1.0,3.8219822e-18,1.0
2024-11-07,0.0,0.0,1.0,0.0,1.0,1.0
2024-07-24,1.0,0.0,1.0,0.0,0.0,1.0
2022-04-07,1.0,0.0,0.0,1.0,1.0,1.0224323e-26
2022-07-12,1.0,0.0,1.0,0.0,1.0,1.0
2020-06-03,1.0,0.0,1.0,0.0,0.0,1.0
2022-09-09,1.0,0.0,1.0,0.0,1.0,1.0
2023-10-19,1.0,0.0,0.0,0.0,1.0,1.0
2021-12-18,0.0,0.0,0.0,1.0,0.0,1.0
2021-09-09,1.0,0.0,1.0,0.0,0.0,1.0
2024-09-16,1.0,0.0,1.0,0.0,1.0,1.0
2022-06-28,1.0,0.0,1.0,0.0,1.0,1.0
2024-10-30,0.0,0.0,1.0,0.0,1.0,1.0
2020-09-21,1.0,0.0,1.0,0.0,1.0,1.0
2024-12-19,0.0,0.0,0.0,0.0,1.0,1.0
2024-05-11,1.0,0.0,1.0,0.0,0.0,1.0
2024-05-15,1.0,0.0,1.0,0.0,0.0,1.0
2024-12-20,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-22,0.99888295,2.0175344e-33,0.0,1.0,5.327681e-07,1.0
2022-07-25,1.0,0.0,1.0,0.0,1.0,1.0
2023-11-11,0.0,0.0,0.0,0.0,1.0,1.0
2022-07-04,1.0,0.0,1.0,0.0,1.0,1.0
2020-06-06,1.0,0.0,1.0,0.0,0.0,1.0
2022-12-26,0.0,0.0,0.0,1.0,0.0,1.0
2023-06-25,1.0,0.0,1.0,0.0,0.0,1.0
2020-06-14,1.0,0.0,1.0,0.0,0.0,1.0
2024-11-30,0.0,0.0,1.3861505e-07,0.0,1.0,1.0
2023-06-02,1.0,0.0,1.0,0.0,0.0,1.0
2024-08-31,1.0,0.0,0.0,0.0,1.0,1.0
2023-01-12,0.0,0.0,0.0,1.0,0.0,1.0
2019-09-21,1.0,0.0,1.0,0.0,1.0,1.0
2023-07-12,1.0,0.0,1.0,0.0,1.0,1.0
2020-04-05,1.0,0.0,0.0,1.0,1.0,0.0
2024-07-12,1.0,0.0,1.0,0.0,0.0,1.0
2022-07-17,1.0,0.0,1.0,0.0,1.0,1.0
2022-02-16,0.0,1.0,0.0,0.0,0.0,0.0
2021-12-26,0.0,0.0,0.0,1.0,0.0,1.0
2023-02-24,0.0,0.0,0.0,1.0,0.0,1.0
2021-02-03,0.0,1.0,0.0,0.0,0.0,0.0
2021-02-09,0.0,1.0,0.0,0.0,0.0,1.0
2021-04-12,1.0,0.0,0.0,0.0,1.0,1.0
2022-03-17,0.0,0.0,0.0,0.0,1.0,1.0
2019-08-27,1.0,0.0,1.0,0.0,0.0,1.0
2022-05-28,1.0,0.0,1.0,0.0,0.0,1.0
2024-08-26,1.0,0.0,0.0,0.0,1.0,1.0
2019-11-11,1.0,0.0,1.0,0.0,1.0,1.0
2023-05-10,1.0,0.0,0.0,1.0,8.706757e-25,1.0
2024-07-29,1.0,0.0,1.0,0.0,1.0,1.0
2022-02-19,0.0,1.0,0.0,0.0,0.0,0.0
2023-06-07,1.0,0.0,1.0,0.0,0.0,1.0
2020-03-07,0.0,1.0,0.0,0.0,0.0,0.0
2019-06-08,1.0,0.0,1.0,0.0,0.0,1.0
2022-12-20,0.0,0.0,0.0,1.0,0.0,1.0
2021-01-11,0.0,1.0,0.0,0.0,0.0,8.134993e-10
2023-02-04,0.0,0.0,0.0,1.0,0.0,1.0
2024-09-21,1.0,0.0,1.0,0.0,0.0,1.0
2023-12-05,0.0,0.0,0.0,1.0,0.0,1.0
2023-07-05,1.0,0.0,1.0,0.0,0.0,1.0
2024-11-28,0.0,0.0,1.0,0.0,1.0,1.0
2019-12-20,1.0,0.0,0.0,5.6728453e-07,1.0,1.0
2023-08-03,1.0,0.0,1.0,0.0,1.0,1.0
2024-08-08,1.0,0.0,1.0,0.0,1.0,1.0
2024-10-17,0.0,0.0,1.0,0.0,1.0,1.0
2020-05-18,1.0,0.0,1.0,1.0,0.0,0.0
2024-09-17,1.0,0.0,1.0,0.0,1.0,1.0
2024-05-23,1.0,0.0,1.0,0.0,0.0,1.0
2020-09-18,1.0,0.0,1.0,0.0,1.0,1.0
2024-11-12,0.0,0.0,1.0,0.0,1.0,1.0
2019-12-06,1.0,0.0,0.0,1.0,1.0,1.0
2023-08-04,1.0,0.0,1.0,0.0,1.0,1.0
2021-07-21,0.0,0.0,1.0,0.0,0.0,1.0
2024-10-09,0.0,0.0,1.0,0.0,1.0,1.0
2024-07-15,1.0,0.0,1.0,0.0,0.0,1.0
2019-11-10,1.0,0.0,1.0,0.0,1.0,1.0
2021-01-20,0.0,1.0,0.0,0.0,0.0,0.0
2019-04-29,1.0,0.0,0.0,1.0,1.0,5.0414273e-26
2021-12-13,0.0,0.0,0.0,1.0,0.0,1.0
2021-02-18,0.0,0.0,0.0,0.0,0.0,1.0
2019-08-14,1.0,0.0,1.0,0.0,0.0,1.0
2023-05-02,1.0,0.0,1.0,1.0,0.0,0.0
2021-10-14,0.0,0.0,1.0,0.0,0.0,1.0
2019-05-25,1.0,0.0,1.9253099e-29,0.0,1.0,1.0
2021-05-10,1.0,0.0,0.0,1.0,0.9998597,0.0
2024-09-02,1.0,0.0,0.0,0.0,1.0,1.0
2023-11-19,0.0,0.0,0.0,1.0,0.0,1.0
2024-12-03,0.0,0.0,1.9745343e-14,0.0,1.0,1.0
2022-12-23,0.0,0.0,0.0,1.0,0.0,1.0
2023-08-23,1.0,0.0,0.0,0.0,1.0,1.0
2023-08-01,1.0,0.0,1.0,0.0,1.0,1.0
2022-08-20,1.0,0.0,1.0,0.0,0.0,1.0
2022-03-19,0.0,0.0,0.0,0.0,1.0,1.0
2020-03-04,0.0,1.0,0.0,0.0,0.0,0.0
2024-06-09,0.0,0.0,0.0,1.0,0.0,1.0
2020-04-06,1.0,0.0,0.0,1.0,1.0,0.0
2024-05-02,1.0,0.0,0.0,1.0,1.0,0.0
2021-03-10,0.0,0.0,0.0,1.0,1.0,1.0
2019-06-05,1.0,0.0,1.0,0.0,0.0,1.0
2020-02-11,0.0929465,0.0,0.0,0.0,0.0,0.0
2019-12-26,1.0,0.0,0.0,1.0,8.7551584e-08,1.0
2021-07-16,0.0,0.0,1.0,0.0,0.0,1.0
2021-12-04,0.0,0.0,0.0,1.0,0.0,1.0
2024-08-20,1.0,0.0,1.0,0.0,1.0,1.0
2022-01-28,7.0284924e-11,0.0,0.0,1.0,4.671316e-06,1.0
2021-06-09,1.0,0.0,1.0,0.0,0.0,1.0
2020-05-05,1.0,0.0,1.0,1.0,1.0,0.0014326579
2019-05-29,1.0,0.0,1.0,0.0,1.0,1.0
2022-02-11,0.2622347,2.4387722e-07,0.0,1.0,1.0,1.0
2022-12-02,0.0,0.0,0.0,1.0,0.0,1.0
2021-06-08,1.0,0.0,1.0,0.0,0.0,1.0
2024-03-13,1.0,0.0,0.0,0.0,0.0,1.0
2019-06-07,1.0,0.0,1.0,0.0,0.0,1.0
2024-02-28,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-12,1.0,0.0,1.0,0.0,1.0,1.0
2021-04-14,1.0,0.0,0.0,0.0,1.0,1.0
2023-03-20,1.0,0.0,0.0,1.0,1.0,1.0
2024-05-08,1.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,2.5748142e-16,0.0,0.0,0.0,0.0,1.0
2019-06-09,1.0,0.0,1.0,0.0,0.0,1.0
2023-10-22,1.0,0.0,0.0,0.0,1.0,1.0
2019-12-25,1.0,0.0,0.0,1.0,1.3836561e-16,1.0
2020-02-10,1.0,0.0,0.0,0.0,7.209283e-13,0.0
2023-11-02,1.0,0.0,1.0,0.0,1.0,1.0
2021-02-25,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-27,1.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,1.0,0.0,0.0,1.0,1.0,0.0
2021-04-11,1.0,0.0,0.0,1.0,1.0,1.0
2021-10-26,0.0,0.0,1.0,0.0,0.0,1.0
2024-11-11,0.0,0.0,1.0,0.0,1.0,1.0
2022-01-03,1.9245122e-06,0.0,0.0,1.0,6.775093e-09,1.0
2022-08-25,1.0,0.0,1.0,0.0,0.0,1.0
2021-08-14,1.0,0.0,1.0,0.0,1.0,1.0
2020-06-05,1.0,0.0,1.0,0.0,0.0,1.0
2023-02-01,0.0,0.0,0.0,1.0,0.0,1.0
2024-12-22,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-23,1.0,0.0,1.0,0.0,0.0,1.0
2022-05-12,1.0,0.0,1.0,1.0,0.0,0.0
2019-10-17,1.0,0.0,1.0,0.0,0.0,1.0
2024-09-11,1.0,0.0,1.0,0.0,1.0,1.0
2021-10-22,0.0,0.0,1.0,0.0,0.0,1.0
2022-01-19,0.6587596,7.6343875e-35,0.0,1.0,3.8547416e-08,1.0
2022-06-03,1.0,0.0,1.0,0.0,0.0,0.0
2022-08-22,1.0,0.0,1.0,0.0,0.0,1.0
2023-08-11,1.0,0.0,1.0,0.0,0.0,1.0
2021-06-22,1.0,0.0,1.0,0.0,0.0,1.0
2021-09-20,1.0,0.0,1.0,0.0,0.0,1.0
2020-09-03,1.0,0.0,1.0,0.0,0.0,1.0
2021-06-02,1.0,0.0,1.0,0.0,0.0,1.0
2020-08-02,1.0,0.0,1.0,0.0,1.0,1.0
2024-10-04,1.0,0.0,1.0,0.0,1.0,1.0
2023-03-01,0.0,0.0,0.0,1.0,0.0,1.0
2023-07-30,1.0,0.0,1.0,0.0,1.0,1.0
2024-07-30,1.0,0.0,1.0,0.0,1.0,1.0
2022-09-11,1.0,0.0,1.0,0.0,1.0,1.0
2019-05-12,1.0,0.0,2.8341547e-31,0.0,1.0,1.0
2022-08-21,1.0,0.0,1.0,0.0,0.0,1.0
2024-11-14,0.0,0.0,1.0,0.0,1.0,1.0
2023-08-19,1.0,0.0,0.0,0.0,1.0,1.0
2019-05-05,1.0,0.0,6.8348796e-23,1.0,1.0,1.0
2020-11-24,1.0,0.0,2.8429717e-29,0.0,2.296391e-19,1.0
2020-10-03,1.0,0.0,1.0,0.0,1.0,1.0
2023-03-15,0.0,0.0,0.0,1.0,0.0,1.0
2021-11-08,0.0,0.0,0.0,1.0,0.0,1.0
2023-01-26,0.0,0.0,0.0,1.0,0.0,1.0
2021-10-19,0.0,0.0,1.0,0.0,0.0,1.0
2021-11-29,0.0,0.0,0.0,1.0,0.0,1.0
2023-10-08,1.0,0.0,0.0,0.0,1.0,1.0
2023-04-07,1.0,0.0,0.0,1.0,1.0,1.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-01,1.0,0.0,0.0,0.0,1.0,1.0
2021-05-28,0.0,0.0,1.0,0.0,1.0,1.0
2021-11-03,0.0,0.0,1.0,0.0,0.0,1.0
2024-11-03,0.0,0.0,1.0,0.0,1.0,1.0
2021-07-22,0.0,0.0,1.0,0.0,0.0,1.0
2024-03-29,1.0,0.0,0.0,1.0,1.0,0.5722368
2019-12-21,1.0,0.0,0.0,9.045073e-06,0.9984407,1.0
2022-11-06,0.0,0.0,0.0,1.0,0.0,1.0
2019-09-19,1.0,0.0,1.0,0.0,1.0,1.0
2019-07-07,1.0,0.0,1.0,0.0,1.0,1.0
2019-12-01,1.0,0.0,0.0,1.0,1.0,1.0
2022-02-21,0.0,1.0,0.0,0.0,0.0,0.0
2019-09-22,1.0,0.0,1.0,0.0,1.0,1.0
2023-08-21,1.0,0.0,0.0,0.0,1.0,1.0
2021-10-10,0.0,0.0,1.0,0.0,0.0,1.0
2020-08-17,1.0,0.0,1.0,0.0,1.0,1.0
2022-04-08,1.0,0.0,0.0,1.0,1.0,2.414194e-25
2019-10-28,1.0,0.0,1.0,0.0,1.208969e-26,1.0
2020-09-19,1.0,0.0,1.0,0.0,1.0,1.0
2023-01-30,0.0,0.0,0.0,1.0,0.0,1.0
2024-11-08,0.0,0.0,1.0,0.0,1.0,1.0
2020-02-06,1.0,0.0,0.0,0.0,1.0,0.0
2021-07-17,0.0,0.0,1.0,0.0,0.0,1.0
2024-08-02,1.0,0.0,1.0,0.0,1.0,1.0
2020-07-27,1.0,0.0,1.0,0.0,1.0,1.0
2019-10-16,1.0,0.0,1.0,0.0,0.0,1.0
2022-11-04,0.0,0.0,0.0,0.0,0.0,1.0
2023-10-01,1.0,0.0,0.0,0.0,1.0,1.0
2022-01-11,2.7729696e-18,0.0,0.0,1.0,1.6103246e-24,1.0
2019-12-17,1.0,0.0,0.0,1.0,2.9127884e-07,9.5361247e-07
2020-11-19,1.0,0.0,4.460033e-21,0.0,1.0,1.0
2024-10-06,1.0,0.0,1.0,0.0,1.0,1.0
2023-01-02,0.0,0.0,0.0,1.0,0.0,1.0
2021-09-18,1.0,0.0,1.0,0.0,0.0,1.0
2021-03-01,0.0,0.0,0.0,1.0,0.0,1.0
2023-08-31,1.0,0.0,0.0,0.0,1.0,1.0
2022-02-18,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-22,1.0,0.0,0.0,0.0,1.0,1.0
2023-02-14,0.0,0.0,0.0,1.0,0.0,1.0
2024-01-24,0.0,4.936569e-18,0.0,0.0,0.0,1.0
2023-05-04,1.0,0.0,1.2271758e-38,1.0,7.8370665e-15,1.8391875e-33
2021-09-14,1.0,0.0,1.0,0.0,0.0,1.0
2024-10-15,0.0,0.0,1.0,0.0,1.0,1.0
2024-04-11,1.0,0.0,4.911085e-31,1.0,1.0,1.0
2023-09-16,1.0,0.0,0.0,0.0,1.0,1.0
2022-05-30,1.0,0.0,1.0,0.0,0.0,1.0
2020-06-25,0.0,0.0,1.0,0.0,0.0,1.0
2024-03-31,1.0,0.0,0.0,1.0,1.0,1.3992828e-16
2023-09-19,1.0,0.0,0.0,0.0,1.0,1.0
2023-05-28,1.0,0.0,1.0,0.0,0.0,1.0
2023-12-08,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-07,0.0,1.0,0.0,0.0,0.0,0.0
2020-10-28,1.0,0.0,1.0,0.0,1.0,1.0
2020-06-27,1.0,0.0,1.0,0.0,0.0,1.0
2020-06-30,1.0,0.0,1.0,0.0,0.0,1.0
2019-12-16,1.0,0.0,0.0,1.0,3.9243885e-05,1.0
2019-07-06,1.0,0.0,1.0,0.0,1.0,1.0
2024-11-10,0.0,0.0,1.0,0.0,1.0,1.0
2021-07-19,0.0,0.0,1.0,0.0,0.0,1.0
2019-11-08,1.0,0.0,1.0,0.0,1.0,1.0
2023-03-28,0.0,0.0,0.0,1.0,0.0,1.0
2021-07-12,1.0,0.0,1.0,0.0,0.0,1.0
2020-11-08,1.0,0.0,1.0,0.0,0.99978787,1.0
2023-04-22,1.0,0.0,1.0,1.0,0.0,0.0
2022-06-01,1.0,0.0,1.0,0.0,0.0,0.0
